"name","cap","ideo"
"GUYANA",0.205045256356599,0.6
"SURINAME",0.199704997748201,0.6
"TRINIDAD_AND_TOBAGO",0.368271117608963,1
"VENEZUELA",0.543313742329586,0.1
"ARGENTINA",0.646152305928387,0.8
"BOLIVIA",0.399516190681326,0.7
"BRAZIL",0.766666732772899,0.8
"CHILE",0.649568978420868,1
"ECUADOR",0.448632943103994,0.5
"PARAGUAY",0.333502610167059,0.9
"PERU",0.614672089107074,0.9
"URUGUAY",0.493568400982413,1
"GUATEMALA",0.476694599394722,0.8
"MEXICO",0.702450922546932,0.8
"BARBADOS",0.264518162890342,0.959250000000001
"DOMINICAN_REPUBLIC",0.514455225743166,0.8
"HAITI",0,0.741375
"JAMAICA",0.264657295941124,0.9
"BAHAMAS",0.303943365410106,0.935000000000001
"BELIZE",0.225158791793609,0.88875
"COLOMBIA",0.681472905629669,0.7
"COSTA_RICA",0.337278916955872,1
"CUBA",0.439773945096998,0
"EL_SALVADOR",0.419687253078213,0.8
"HONDURAS",0.388112358613215,0.7
"NICARAGUA",0.309706721104468,0.9
"PANAMA",0.511185071504007,0.9
"ICELAND",0.19364310287631,0.979000000000002
"IRELAND",0.523258976436257,1
"UNITED_KINGDOM",0.765011202709752,1
"CAPE_VERDE",0.204644080019446,1
"COTE_DE_IVOIRE",0.287041939315861,0.5
"GHANA",0.271099024635082,0.8
"LIBERIA",0.105131613458076,0.7
"PORTUGAL",0.597047278563999,1
"SPAIN",0.75494776672169,1
"BURKINA_FASO",0.162981925246017,0.2
"GUINEA",0.228830499299487,0.5
"GUINEA-BISSAU",0.0707987520222671,0.7
"MALI",0.20945069730591,0.7
"SENEGAL",0.23896727184484,0.7
"SIERRA_LEONE",0.196183234949463,0.8
"GAMBIA",0.116065570943198,0
"DJIBOUTI",0.227034787116191,0.3
"ERITREA",0.214739238280855,0
"ETHIOPIA",0.286855281215246,0.3
"MONGOLIA",0.302721155102464,1
"SUDAN",0.45566940790926,0.1
"UGANDA",0.320456538537275,0.1
"IRAQ",0.563009535648203,0.4
"JORDAN",0.534175902803194,0.2
"KAZAKHSTAN",0.520679098640648,0
"NORWAY",0.611452168190782,1
"RUSSIAN_FEDERATION",0.816443739550276,0.5
"SWEDEN",0.521222746756058,1
"ALGERIA",0.626229966145114,0.3
"CAMEROON",0.317487255007168,0.1
